"","Species","Africa","Americas","Antarctica","Asia","Europe","Oceania"
"4","Drosophila_affinis",6854012.72920028,7576084.81179705,6542.94500215849,4342264.61230461,2423270.80443861,1606463.58272656
"9","Drosophila_anceps",2232258.47850082,2055313.47686009,0,963609.723260428,22754.0530987794,308376.215053166
"11","Drosophila_arizonae",9950375.32910534,12992368.9025214,0,4592763.55748945,38015.0730090446,964670.281724797
"13","Drosophila_auraria",1724017.17170165,3700766.09199261,7215.43464071349,1834509.0513444,2380075.41547551,889252.78946039
"14","Drosophila_azteca",2946391.63522677,2992242.04831518,0,1510064.3153224,293341.468522911,809135.224180756
"20","Drosophila_bipectinata",4998555.36492969,6641127.72291124,0,2717740.53019244,300.6998996726,508150.613113562
"21","Drosophila_birchii",1913904.11473552,1363582.52629886,0,877879.108971332,4447.12437820229,258811.580441318
"24","Drosophila_bunnanda",1976872.52635937,1232265.01965137,0,1096387.47445641,0,255272.245922297
"25","Drosophila_busckii",750327.449025742,1882206.23456777,2949.58246134904,760060.306100609,1115461.33994614,615002.553277863
"26","Drosophila_buzzatii",3079372.84130989,2602591.18202752,0,1200873.04495463,41714.430389742,413365.829894747
"28","Drosophila_cardini",2105893.71139419,1475578.91044158,0,929191.705615996,4447.12437820229,268932.354818255
"29","Drosophila_diplacantha",869312.732332341,1334781.79628119,0,1119519.5315456,0,195550.03463542
"32","Drosophila_emarginata",215365.81899125,228619.351068505,0,342161.437179161,0,79045.9835516646
"34","Drosophila_equinoxialis",1097508.87794673,957810.17945265,0,997388.02353525,0,193714.594543472
"36","Drosophila_erecta",1880540.09295111,1148588.89887718,0,1048634.1955513,0,253138.544640074
"37","Drosophila_eugracilis",3510508.00632777,5238657.29925594,0,2415991.42556117,0,440129.449099073
"39","Drosophila_ezoana",67992.0536579812,2923079.27082603,12035.0051021024,628513.771986297,2921691.13447026,328592.457318878
"42","Drosophila_funebris",131666.837871304,1756689.4158078,7440.35009333777,338314.725492297,1459891.63692042,419775.967300177
"44","Drosophila_greeni",2918886.93610146,3526673.48114039,0,1944592.25725101,0,312516.492699519
"45","Drosophila_guttifera",9350041.42031057,10927162.5405944,3623.57330192987,5754130.70266186,1821645.81563147,1990681.73211222
"46","Drosophila_hydei",766779.218725538,1639712.99609672,474.772716432159,704946.624640833,770777.547144179,574348.913479608
"48","Drosophila_immigrans",731398.228277143,1638899.66591804,700.437785615356,691277.081540347,817444.054761182,576184.178151406
"51","Drosophila_kanekoi",613898.934869903,3027146.47982485,9466.93444179533,1005229.17648015,2882972.76834955,637097.789303833
"53","Drosophila_kikkawai",4725408.15485667,4029128.38214089,0,1802162.32444677,7307.19544508596,416291.154053008
"59","Drosophila_littoralis",62991.066324803,1695467.75478643,9259.79123454385,221703.983765532,1244847.85354434,315085.004480055
"62","Drosophila_lutescens",2145440.79327129,3537620.13820401,4746.63755559012,1869924.05870273,1623224.73697903,941142.68271023
"63","Drosophila_malerkotliana",4645982.81693244,5769335.61821556,0,2522777.87308085,300.6998996726,474730.182464395
"64","Drosophila_mauritiana",737504.947600469,463055.740775033,0,627825.958952601,0,155986.012185203
"68","Drosophila_melanica",9813255.47874878,11849734.7358728,3623.57330192987,6094443.1939059,1847265.90768232,2126514.47450414
"69","Drosophila_melanogaster",1219622.15397075,2007534.34601961,0,938303.417322736,703313.232462033,650178.486012281
"70","Drosophila_mercatorum",1309514.26856586,1279304.76439404,0,654377.050358343,10172.264741496,203089.049741985
"74","Drosophila_mojavensis",12636957.9033934,15401567.9617018,0,5348373.93313735,125166.802799564,1575695.85223504
"75","Drosophila_montana",145440.672223076,2927793.21947344,12035.0051021024,701898.364213122,3472021.52073833,435239.921386616
"77","Drosophila_nannoptera",2410867.21073655,2018390.36005881,0,999774.204787627,11556.1798360669,291692.030021667
"79","Drosophila_nasuta",5130864.84469813,6537127.66925375,0,2699374.85882358,1510.46660977999,514362.939313247
"80","Drosophila_navojoa",7101115.88426022,10909428.8380464,0,3526439.02994451,300.6998996726,646874.648897235
"86","Drosophila_orena",415893.330388497,273186.406677393,0,485775.761476581,0,119232.033767602
"91","Drosophila_pallidosa",0,6072.66203576988,0,28306.9256611548,0,20256.7017673993
"93","Drosophila_parabipectinata",2146232.77358834,4225408.66141063,0,2174283.90516082,0,386045.151801965
"96","Drosophila_paulistorum",990410.1097783,536881.672383326,0,715903.50340266,0,175644.316495792
"98","Drosophila_persimilis",951054.595015589,2265020.50325631,4070.39393947656,941582.535594542,1309880.13129138,677067.063437286
"100","Drosophila_phalerata",60113.941573883,1159597.13502348,6542.94500215849,152514.228665189,720135.788102625,302842.605508331
"104","Drosophila_pseudoananassae",1685718.00600719,1141825.10852194,0,1080695.10295737,0,223194.441030992
"111","Drosophila_repleta",1686710.53044745,2015392.5136782,0,955084.149866905,130462.849299838,527438.169910379
"112","Drosophila_robusta",4960937.14994446,6408279.26378291,7641.08134104225,3774879.83693897,3245457.03197144,1393688.10494534
