"","Species","Afrotropic","Antarctic","Australasia","Indo-Malay","Nearctic","Neotropic","Oceania","Palearctic"
"4","Drosophila_affinis",6640373.66135126,14546.0203062235,2048360.32010852,2190647.12941596,842073.629200221,6790916.67121755,44617.1781144233,4347746.79434782
"9","Drosophila_anceps",2204948.58718444,0,535304.656842576,713147.058181879,7458.76409943537,2035852.06600521,34765.1344466992,57753.3652364377
"11","Drosophila_arizonae",9796815.31512003,0,1683139.12461312,3744367.7898372,143002.980684904,12854370.9846452,41729.4926865576,335869.473838729
"13","Drosophila_auraria",1708831.75253062,15323.9037521254,1039585.88249285,779529.477080154,469075.034561032,3271715.20564326,18408.2451971416,3303446.28304788
"14","Drosophila_azteca",2897235.37606227,0,1049496.33288371,1018682.06364972,126932.246436114,2867088.63929742,37346.122423661,582729.296324866
"20","Drosophila_bipectinata",5004297.98836044,0,1167339.39322605,2044999.90028497,1227.23653657859,6647913.58936916,36902.3340497361,5382.39730537743
"21","Drosophila_birchii",1900971.56697692,0,518980.547624433,594473.832974545,604.657918644752,1352749.05360541,35474.7302767537,18390.4423690537
"24","Drosophila_bunnanda",1980604.98549057,0,589722.857415888,746558.342977874,0,1229195.55934279,34314.7233285587,0
"25","Drosophila_busckii",751003.793976768,10311.42479679,716395.750793678,374647.745806213,233589.24318311,1689834.9958371,11581.6873593639,1405999.47712277
"26","Drosophila_buzzatii",3033344.48301117,0,694006.679143216,886551.50051459,12032.425931635,2580505.16702586,37396.3589168433,105605.864309852
"28","Drosophila_cardini",2091168.45067272,0,546481.857062327,628420.500180351,604.657918644752,1465087.0183475,35801.9409925536,21184.2522556108
"29","Drosophila_diplacantha",872358.288731521,0,525155.642344012,787867.312522209,0,1340903.35585031,21765.6294889135,0
"32","Drosophila_emarginata",215694.154794354,0,177972.284821397,235023.215189479,0,223804.631385663,12973.5044540864,0
"34","Drosophila_equinoxialis",1099886.8786454,0,501447.618892785,682573.146228372,0,962229.197736359,23370.9813461687,0
"36","Drosophila_erecta",1883595.57469945,0,575642.675948731,709710.289585799,0,1143517.20842763,34314.7233285587,0
"37","Drosophila_eugracilis",3516911.06937987,0,1062182.73005768,1785357.01638322,0,5247926.17007372,33373.3302320926,0
"39","Drosophila_ezoana",68266.1550328614,36002.3666615722,363131.484876015,100587.000994281,1155174.33529822,1804433.7586918,4837.00586055221,3418288.38923247
"42","Drosophila_funebris",132227.496932583,15846.929901122,468180.012201137,123489.736388547,278328.343613412,1517681.14434855,6119.63777382851,1627936.61291576
"44","Drosophila_greeni",2924949.46347628,0,834069.159914837,1412826.32799099,0,3531574.35059125,32734.5306135542,0
