"","species","lat","long","ref","gbifID","key"
"1","Drosophila suzukii","52.460726","13.258478","https://www.inaturalist.org/observations/257108818","5036834143","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"2","Drosophila suzukii","38.592959","-91.126443","https://www.inaturalist.org/observations/257170818","5007624535","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"3","Drosophila suzukii","50.143088","8.713115","https://www.inaturalist.org/observations/257264640","5006898605","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"4","Drosophila suzukii","53.091021","8.829197","https://www.inaturalist.org/observations/257405618","5007272463","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"5","Drosophila suzukii","39.477758","-0.383695","https://www.inaturalist.org/observations/257701452","5006783480","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"6","Drosophila suzukii","52.564201","13.358452","https://www.inaturalist.org/observations/257809275","5037177428","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"7","Drosophila hydei","-43.57997","172.437006","https://www.inaturalist.org/observations/257840897","5037184471","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"8","Drosophila suzukii","50.123927","8.653507","https://www.inaturalist.org/observations/257944533","5036955890","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"9","Drosophila melanogaster","36.997592","-122.064086","https://www.inaturalist.org/observations/257991825","5037154702","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"10","Drosophila suzukii","53.090564","8.828816","https://www.inaturalist.org/observations/258016884","5036969458","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"11","Drosophila immigrans","16.634037","121.237358","https://www.inaturalist.org/observations/258109931","5037232159","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"12","Drosophila immigrans","48.480156","-2.69373","https://www.inaturalist.org/observations/258236823","5062993734","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"13","Drosophila busckii","30.304462","-81.627161","https://www.inaturalist.org/observations/258389015","5036914938","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"14","Drosophila suzukii","50.090796","8.694966","https://www.inaturalist.org/observations/258483702","5037148123","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"15","Drosophila suzukii","52.270706","10.486878","https://www.inaturalist.org/observations/258739144","5063039160","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"16","Drosophila suzukii","50.143446","8.691173","https://www.inaturalist.org/observations/258751116","5063061266","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"17","Drosophila melanogaster","53.546098","-113.493727","https://www.inaturalist.org/observations/258887869","5063086206","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"18","Drosophila suzukii","50.086771","8.630548","https://www.inaturalist.org/observations/258971648","5063188685","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"19","Drosophila suzukii","52.54349","13.40025","https://www.inaturalist.org/observations/259257383","5063343471","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"20","Drosophila suzukii","50.089211","8.695601","https://www.inaturalist.org/observations/259266651","5063284425","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"21","Drosophila suzukii","48.273017","16.353877","https://www.inaturalist.org/observations/259547578","5063401173","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"22","Drosophila suzukii","49.906239","8.124125","https://www.inaturalist.org/observations/259682871","5063452751","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"23","Drosophila suzukii","51.408335","0.012961","https://www.inaturalist.org/observations/259777083","5063527467","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"24","Drosophila suzukii","50.090625","8.692365","https://www.inaturalist.org/observations/259851312","5063523665","50c9509d-22c7-4a22-a47d-8c48425ef4a7"
