"","Species","lat","long"
"1","Chymomyza_amoena","32.75252"," -97.192465"
"2","Chymomyza_amoena","29.58354"," -98.618078"
"3","Chymomyza_amoena","30.32762"," -97.806352"
"4","Chymomyza_amoena","29.46397"," -98.482313"
"5","Chymomyza_amoena","30.12493"," -95.687816"
"6","Chymomyza_amoena","32.39789"," -97.328346"
"7","Chymomyza_amoena","30.35750"," -97.723400"
"8","Chymomyza_amoena","30.61495"," -92.058105"
"9","Chymomyza_amoena","30.34977"," -88.548103"
"10","Chymomyza_amoena","33.03532"," -96.728032"
"11","Chymomyza_amoena","33.03532"," -96.728032"
"12","Chymomyza_amoena","33.03532"," -96.728032"
"13","Chymomyza_amoena","29.49042"," -98.539993"
"14","Chymomyza_amoena","32.90655"," -96.839559"
"15","Chymomyza_amoena","32.75250"," -97.192560"
"16","Chymomyza_amoena","33.91145"," -84.448471"
"17","Chymomyza_amoena","38.96738"," -77.325133"
"18","Chymomyza_amoena","33.04763"," -97.051719"
"19","Chymomyza_amoena","33.12511"," -96.878372"
"20","Chymomyza_amoena","33.03532"," -96.728032"
"21","Chymomyza_amoena","33.72663"," -84.377083"
"22","Chymomyza_amoena","30.27014"," -97.808237"
"23","Chymomyza_amoena","32.47534"," -97.010318"
"24","Chymomyza_amoena","36.28662"," -95.322250"
"25","Chymomyza_amoena","32.39728"," -97.327548"
"26","Chymomyza_amoena","33.80555"," -84.416573"
"27","Chymomyza_amoena","33.43665"," -86.812699"
"28","Chymomyza_amoena","34.04156"," -86.408722"
"29","Chymomyza_amoena","32.49571"," -94.570397"
"30","Chymomyza_amoena","29.72974"," -95.409566"
"31","Chymomyza_amoena","30.26953"," -97.826112"
"32","Chymomyza_amoena","33.99346"," -83.372860"
"33","Chymomyza_amoena","44.63427","  -0.998302"
"34","Chymomyza_amoena","35.86916"," -79.082582"
"35","Chymomyza_amoena","30.54890"," -97.625833"
"36","Chymomyza_amoena","30.35750"," -97.723400"
"37","Chymomyza_amoena","29.76793"," -95.383300"
"38","Chymomyza_amoena","29.68200"," -95.650000"
"39","Chymomyza_amoena","36.28662"," -95.322250"
"40","Chymomyza_amoena","32.82854"," -96.777637"
"41","Chymomyza_amoena","38.81881"," -77.118707"
"42","Chymomyza_amoena","38.77594"," -90.622826"
"43","Chymomyza_amoena","29.58152"," -98.637704"
"44","Chymomyza_amoena","32.68720"," -97.010747"
"45","Chymomyza_amoena","38.97192"," -77.369295"
"46","Chymomyza_amoena","32.72059"," -97.395395"
"47","Chymomyza_amoena","33.15723"," -96.568532"
"48","Chymomyza_amoena","40.66468"," -73.968543"
"49","Chymomyza_amoena","40.65959"," -73.966820"
"50","Chymomyza_amoena","37.21578"," -93.284854"
"51","Chymomyza_amoena","43.78120"," -79.281598"
"52","Chymomyza_amoena","43.78120"," -79.281598"
"53","Chymomyza_amoena","39.07281"," -77.464341"
"54","Chymomyza_amoena","41.72938"," -87.549212"
"55","Chymomyza_amoena","43.17983"," -80.577256"
"56","Chymomyza_amoena","43.20360"," -79.554011"
"57","Chymomyza_amoena","43.63683"," -79.448160"
"58","Chymomyza_amoena","37.95629"," -84.502727"
"59","Chymomyza_amoena","32.72931"," -97.113625"
"60","Chymomyza_amoena","29.76793"," -95.383367"
"61","Chymomyza_amoena","30.45457"," -97.798971"
"62","Chymomyza_amoena","33.03532"," -96.728032"
"63","Chymomyza_amoena","42.21599"," -79.857288"
"64","Chymomyza_amoena","39.74470"," -75.159109"
"65","Chymomyza_amoena","34.04183"," -86.409455"
"66","Chymomyza_amoena","52.05000","   6.050000"
"67","Chymomyza_amoena","51.40000","   6.100000"
"68","Chymomyza_amoena","51.35000","   5.450000"
"69","Chymomyza_amoena","52.00000","   5.500000"
"70","Chymomyza_amoena","51.40000","   5.500000"
"71","Chymomyza_amoena","42.06004"," -82.466367"
"72","Chymomyza_amoena","42.70528"," -83.188417"
"73","Chymomyza_amoena","40.03805"," -75.467322"
"74","Chymomyza_amoena","38.29912"," -76.533677"
"75","Chymomyza_amoena","38.89400"," -77.255661"
"76","Chymomyza_amoena","43.31377"," -73.664260"
"77","Chymomyza_amoena","32.78466"," -96.709053"
"78","Chymomyza_amoena","30.27632"," -97.815087"
"79","Chymomyza_amoena","33.97458","-117.325481"
"80","Chymomyza_amoena","42.06446"," -87.774363"
"81","Chymomyza_amoena","53.22080","   6.546794"
"82","Chymomyza_amoena","40.65399"," -73.996445"
"83","Chymomyza_amoena","51.05160","  17.167124"
"84","Chymomyza_amoena","42.69875"," -80.410211"
"85","Chymomyza_amoena","40.80404"," -73.465233"
"86","Chymomyza_amoena","39.61881"," -79.916577"
"87","Chymomyza_amoena","41.18908"," -74.075934"
"88","Chymomyza_amoena","41.19119"," -74.075630"
"89","Chymomyza_amoena","40.72032"," -73.611280"
"90","Chymomyza_amoena","43.65962"," -79.427078"
"91","Chymomyza_amoena","45.16581"," -93.380679"
"92","Chymomyza_amoena","41.21873"," -75.841552"
"93","Chymomyza_amoena","41.21877"," -75.842261"
"94","Chymomyza_amoena","39.96815"," -86.155311"
"95","Chymomyza_amoena","39.87197"," -86.067065"
"96","Chymomyza_amoena","45.64528"," -73.441542"
"97","Chymomyza_amoena","37.53052"," -88.983527"
"98","Chymomyza_amoena","40.38748"," -76.060305"
"99","Chymomyza_amoena","37.98278"," -80.946363"
"100","Chymomyza_amoena","53.16934","   8.176075"
"101","Chymomyza_amoena","39.70773"," -79.889881"
"102","Chymomyza_amoena","51.03493","  17.213569"
"103","Chymomyza_amoena","53.95285","  10.209909"
"104","Chymomyza_amoena","40.95508"," -76.610155"
"105","Chymomyza_amoena","53.35680","   6.333271"
"106","Chymomyza_amoena","41.97837"," -72.692725"
"107","Chymomyza_amoena","40.95519"," -76.610177"
"108","Chymomyza_amoena","41.30867","-111.930037"
"109","Chymomyza_amoena","45.49437"," -73.580651"
"110","Chymomyza_amoena","44.22749"," -69.886426"
"111","Chymomyza_amoena","46.00322"," -77.444228"
"112","Chymomyza_amoena","40.58835"," -74.139725"
"113","Chymomyza_amoena","38.96308"," -77.150572"
"114","Chymomyza_amoena","38.96374"," -77.147367"
"115","Chymomyza_amoena","49.99779","  18.448210"
"116","Chymomyza_amoena","53.09104","   8.829184"
"117","Chymomyza_amoena","40.00333"," -86.305727"
"118","Chymomyza_amoena","39.11041"," -88.541193"
"119","Chymomyza_amoena","32.74177"," -97.242983"
"120","Chymomyza_amoena","34.01589"," -84.775569"
"121","Chymomyza_amoena","38.98173"," -77.512538"
"122","Chymomyza_amoena","39.72138"," -84.065994"
"123","Chymomyza_amoena","38.57794"," -78.380659"
"124","Chymomyza_amoena","53.09785","   8.841059"
"125","Chymomyza_amoena","39.72147"," -84.066422"
"126","Chymomyza_amoena","33.03532"," -96.728032"
"127","Chymomyza_amoena","47.24258","  18.648559"
"128","Chymomyza_amoena","39.76621"," -86.175790"
"129","Chymomyza_amoena","39.76621"," -86.175790"
"130","Chymomyza_amoena","40.78148"," -73.970092"
"131","Chymomyza_amoena","40.58244"," -74.142809"
"132","Chymomyza_amoena","38.29912"," -76.533677"
"133","Chymomyza_amoena","41.73661"," -70.045346"
"134","Chymomyza_amoena","42.67134"," -80.403610"
"135","Chymomyza_amoena","54.48227","  43.522000"
"136","Chymomyza_amoena","51.95000","   5.750000"
"137","Chymomyza_amoena","51.45000","   6.150000"
"138","Chymomyza_amoena","52.20000","   5.200000"
"139","Chymomyza_amoena","51.65000","   5.300000"
"140","Chymomyza_amoena","51.60000","   5.100000"
"141","Chymomyza_amoena","52.00000","   4.300000"
"142","Chymomyza_amoena","51.60000","   4.850000"
"143","Chymomyza_amoena","52.00000","   5.750000"
"144","Chymomyza_amoena","51.95000","   5.700000"
"145","Chymomyza_amoena","52.15000","   5.350000"
"146","Chymomyza_amoena","51.35000","   5.150000"
"147","Chymomyza_amoena","50.75000","   5.900000"
"148","Chymomyza_amoena","52.15000","   5.350000"
"149","Chymomyza_amoena","51.40000","   5.500000"
"150","Chymomyza_amoena","52.50000","   5.900000"
"151","Chymomyza_amoena","51.95000","   5.450000"
"152","Chymomyza_amoena","51.65000","   5.300000"
"153","Chymomyza_amoena","52.30000","   4.600000"
"154","Chymomyza_amoena","53.35000","   6.300000"
"155","Chymomyza_amoena","53.35000","   6.300000"
"156","Chymomyza_amoena","52.50000","   6.250000"
"157","Chymomyza_amoena","51.95000","   5.650000"
"158","Chymomyza_amoena","51.75000","   5.550000"
"159","Chymomyza_amoena","53.05000","   6.650000"
"160","Chymomyza_amoena","51.75000","   5.550000"
"161","Chymomyza_amoena","51.75000","   5.900000"
"162","Chymomyza_amoena","52.25000","   5.600000"
"163","Chymomyza_amoena","53.10000","   6.100000"
"164","Chymomyza_amoena","51.40000","   5.500000"
"165","Chymomyza_amoena","52.40199","   9.811271"
"166","Chymomyza_amoena","52.40199","   9.811271"
"167","Chymomyza_amoena","57.68548","  11.939800"
"168","Chymomyza_amoena","40.04728","-105.287263"
"169","Chymomyza_amoena","43.18928"," -74.198174"
"170","Chymomyza_amoena","34.17268"," -80.943777"
"171","Chymomyza_amoena","33.13632"," -96.561507"
"172","Chymomyza_amoena","50.15166","  19.256729"
"173","Chymomyza_amoena","39.02819"," -77.110711"
"174","Chymomyza_amoena","35.71193"," -83.567814"
"175","Chymomyza_amoena","43.64048"," -85.829746"
"176","Chymomyza_amoena","39.33552"," -82.097363"
"177","Chymomyza_amoena","51.62779","   4.847738"
"178","Chymomyza_amoena","40.19404"," -88.315007"
"179","Chymomyza_amoena","51.63730","   5.132500"
"180","Chymomyza_amoena","45.17313"," -93.018677"
"181","Chymomyza_amoena","43.43782"," -80.536379"
"182","Chymomyza_amoena","43.64669"," -80.017663"
"183","Chymomyza_amoena","40.58508"," -89.002993"
"184","Chymomyza_amoena","41.47308"," -81.492740"
"185","Chymomyza_amoena","46.27115"," -79.567434"
"186","Chymomyza_amoena","42.59470"," -83.182834"
"187","Chymomyza_amoena","41.30867","-111.930037"
"188","Chymomyza_amoena","43.31362"," -73.664515"
