"","lat","long","datasetKey","citation"
"Chymomyza_amoena","32.75252"," -97.192465","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","29.58354"," -98.618078","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","30.32762"," -97.806352","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","29.46397"," -98.482313","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","30.12493"," -95.687816","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","32.39789"," -97.328346","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","30.35750"," -97.723400","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","30.61495"," -92.058105","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","30.34977"," -88.548103","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","33.03532"," -96.728032","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","33.03532"," -96.728032","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","33.03532"," -96.728032","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","29.49042"," -98.539993","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","32.90655"," -96.839559","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","32.75250"," -97.192560","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","33.91145"," -84.448471","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","38.96738"," -77.325133","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","33.04763"," -97.051719","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","33.12511"," -96.878372","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","33.03532"," -96.728032","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","33.72663"," -84.377083","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","30.27014"," -97.808237","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","32.47534"," -97.010318","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","36.28662"," -95.322250","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","32.39728"," -97.327548","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","33.80555"," -84.416573","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","33.43665"," -86.812699","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","34.04156"," -86.408722","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","32.49571"," -94.570397","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","29.72974"," -95.409566","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
"Chymomyza_amoena","30.26953"," -97.826112","50c9509d-22c7-4a22-a47d-8c48425ef4a7",". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2025-02-04"
