"","Variable","%p<0.05","%p<0.01","%p<0.001"
"1","Bio1",0.002,0,0
"2","Bio2",0.027,0,0
"3","Bio3",0.032,0.001,0
"4","Bio4",0.214,0.007,0
"5","Bio5",0.003,0,0
"6","Bio6",0.014,0,0
"7","Bio7",0.124,0.003,0
"8","Bio8",0.002,0,0
"9","Bio9",0.028,0.001,0
"10","Bio10",0.005,0,0
"11","Bio11",0.007,0,0
"12","Bio12",0.247,0.036,0
"13","Bio13",0.227,0.03,0
"14","Bio14",0.034,0.007,0
"15","Bio15",0.003,0,0
"16","Bio16",0.194,0.017,0
"17","Bio17",0.045,0.008,0
"18","Bio18",0.008,0.001,0
"19","Bio19",0.455,0.131,0.009
