"","Variable","<0.05","<0.01","<0.001","minimum.p","maximum.p","mean.p","median.p","minimim.adj.r2","maximum.adj.r2","mean.adj.r2","median.adj.r2","minimum.est","maximum.est","mean.est","median.est"
"1","Bio1",0.0139,0.0023,0,0.0018867509069855,1,0.880758891028657,1,"-0.0140844816171404","0.181984118830455","0.0219511590956816","0.0156591768075686","-0.165551007806602","0.0454819636549914","-0.063429109852004","-0.0636476745449678"
"2","Bio2",0.0059,8e-04,0,0.00198193318176863,1,0.946384535493172,1,"-0.0140845070334257","0.180905671196734","0.00537904872638485","-0.00433103794404277","-0.329186735992427","0.210309743844299","-0.0619434292107662","-0.060709228282497"
"3","Bio3",0.0089,2e-04,0,0.00341929517127734,1,0.869342718791706,1,"-0.0140845070259425","0.168883814506641","0.0177643666627336","0.00850735365410072","-0.210926138436093","0.0890152489165324","-0.0734211366439472","-0.0726724692173069"
"4","Bio4",0.0056,5e-04,0,0.00106667379790508,1,0.934421804207538,1,"-0.0140845039868622","0.194401111888006","0.00835845472348262","-0.000808195447933091","-0.044026584905188","0.095086819808251","0.0246606939946376","0.0244354576969038"
"5","Bio5",0.0556,0.0118,7e-04,8.34016161071453e-05,1,0.730320659027991,1,"-0.0140845068732971","0.24802792661055","0.0377370100040027","0.0309310437363161","-0.621032376048354","0.219171943835364","-0.2441919365195","-0.246252896383159"
"6","Bio6",0.0333,0.0168,0.0028,2.23206701140196e-05,1,0.903442528050384,1,"-0.014084485329823","0.274538772205012","0.0162613395461375","0.00594056352782063","-0.12956168007331","0.0474608582428773","-0.0481669043025485","-0.0484112162076537"
"7","Bio7",0.0017,1e-04,0,0.00283050935659675,1,0.962654189314869,1,"-0.0140845061918291","0.173064372483009","0.00294715230324614","-0.00542691509246785","-0.104575661574835","0.193863373033135","0.0432547134843753","0.0419543281089581"
"8","Bio8",0,0,0,0.162384299977982,1,0.999707321857756,1,"-0.0140845070332742","0.08065493378986","-0.010368093206188","-0.01261188029323","-0.0618075361798001","0.111713627327467","0.00237095769976122","0.0010516713499336"
"9","Bio9",0.0539,0.0218,0.0043,0.000151576363516754,1,0.788933731849363,1,"-0.0140845042542312","0.235735798645876","0.0335248142141463","0.0248228471134912","-0.124066548814961","0.0355376712995299","-0.0561052282595834","-0.057579163436609"
"10","Bio10",0.0742,0.0147,7e-04,0.000169362562839653,1,0.682631063562906,1,"-0.0140845066027004","0.233433982758003","0.043121851611814","0.0363073594213003","-0.483468956393766","0.115050332320621","-0.207426564885249","-0.209630761663464"
"11","Bio11",0.0296,0.0122,0.0014,3.49109000138621e-05,1,0.888099438664206,1,"-0.0140844950319643","0.265637193411965","0.0198542314124927","0.0107418371108561","-0.134226103133443","0.0367672276967083","-0.0524472344533358","-0.0529550703179738"
"12","Bio12",0.0406,0.0126,0.0024,7.24423317475374e-06,1,0.841644154628482,1,"-0.0140845067981727","0.296506545945001","0.0199749398179802","0.00523633007844032","-0.167870553890122","0.0739332359526941","-0.0426385090124918","-0.04084002269979"
"13","Bio13",0.0193,0.003,2e-04,0.000561639050055799,1,0.879530703353603,1,"-0.0140845060177899","0.208187859194752","0.0135881205962838","-0.000275434734994918","-0.157951781816719","0.0785037423326823","-0.0367970469786155","-0.0340857036105863"
"14","Bio14",0.024,0.0067,6e-04,0.000125971674448072,1,0.886153245791802,1,"-0.0140845070252049","0.239561300852429","0.0136821744348674","0.000171462875693084","-0.0750608622340102","0.0449593003130146","-0.0159367527509127","-0.0156999733087519"
"15","Bio15",0.0304,0.0122,0.0028,3.71334236212558e-06,1,0.888333716000496,1,"-0.0140844959832129","0.309264298732976","0.0138375252065564","-2.41445033845045e-05","-0.0595167884033654","0.147237906665922","0.0340151864282933","0.0331969670899748"
"16","Bio16",0.0081,0.0011,1e-04,0.000802453235029676,1,0.914350350182007,1,"-0.0140845069496847","0.200542342224606","0.00977971712065512","-0.00164943978805021","-0.15932732746231","0.0808184717435905","-0.0343435060129272","-0.0324640464313448"
"17","Bio17",0.0302,0.0084,0.0011,4.76780528601855e-05,1,0.865306427552388,1,"-0.0140845042809048","0.259377258875375","0.0164376404774125","0.00199884627029134","-0.0856615076525132","0.0456872312046728","-0.0188395955885357","-0.0185856211871857"
"18","Bio18",3e-04,1e-04,0,0.00351494466403258,1,0.974094159045381,1,"-0.014084507041662","0.1682721915927","0.00444574158367231","-0.00101236600961485","-0.100787599656494","0.0616996638532299","-0.0024963307825708","-0.00227118103325658"
"19","Bio19",0.1147,0.0436,0.0084,4.67840108462539e-08,1,0.663446881696087,1,"-0.0140845016092797","0.387599928574955","0.0450640061158704","0.035138903869783","-0.111276136389774","0.0484707810112817","-0.0393884568174671","-0.0411720332706865"
