Rank;Global Rank;Institution;Country;Sector;Best Country Quartile
1;6;Harvard University *;USA;Universities;1
2;7;University of Chinese Academy of Sciences;CHN;Universities;1
3;9;Tsinghua University *;CHN;Universities;1
4;12;Zhejiang University *;CHN;Universities;1
5;13;Harvard Medical School;USA;Universities;1
6;14;Shanghai Jiao Tong University *;CHN;Universities;1
7;16;Peking University *;CHN;Universities;1
8;20;Stanford University *;USA;Universities;1
9;21;University of Oxford *;GBR;Universities;1
10;22;Universidade de Sao Paulo *;BRA;Universities;1
11;23;University College London *;GBR;Universities;1
12;25;Johns Hopkins University *;USA;Universities;1
13;26;University of Pennsylvania *;USA;Universities;1
14;28;University of Michigan, Ann Arbor *;USA;Universities;1
15;30;Huazhong University of Science and Technology *;CHN;Universities;1
16;32;University of Toronto;CAN;Universities;1
17;33;University of Chicago *;USA;Universities;1
18;35;University of Washington *;USA;Universities;1
19;38;University of Amsterdam *;NLD;Universities;1
20;39;University of Cambridge *;GBR;Universities;1
21;41;Sichuan University *;CHN;Universities;1
22;42;Columbia University *;USA;Universities;1
23;43;Central South University *;CHN;Universities;1
24;44;Massachusetts Institute of Technology *;USA;Universities;1
25;48;National University of Singapore *;SGP;Universities;1
26;49;University of California, Los Angeles *;USA;Universities;1
27;50;Imperial College London;GBR;Universities;1
28;51;Sorbonne Universite *;FRA;Universities;1
29;54;University of Melbourne *;AUS;Universities;1
30;55;Cornell University *;USA;Universities;1
31;56;Sun Yat-Sen University *;CHN;Universities;1
32;57;Fudan University *;CHN;Universities;1
33;59;University of California, San Diego *;USA;Universities;1
34;60;Yale University *;USA;Universities;1
35;63;University of Sydney *;AUS;Universities;1
36;64;Xi'an Jiaotong University *;CHN;Universities;1
37;66;University of California, Berkeley *;USA;Universities;1
38;67;Vrije Universiteit Amsterdam *;NLD;Universities;1
39;70;University of Tokyo *;JPN;Universities;1
40;72;Harbin Institute of Technology;CHN;Universities;1
41;73;Monash University, Melbourne *;AUS;Universities;1
42;75;University of California, San Francisco *;USA;Universities;1
43;77;The University of British Columbia;CAN;Universities;1
44;80;University of New South Wales *;AUS;Universities;1
45;82;New York University *;USA;Universities;1
46;83;Duke University *;USA;Universities;1
47;85;University of Science and Technology of China *;CHN;Universities;1
48;86;Tongji University *;CHN;Universities;1
49;87;Wuhan University *;CHN;Universities;1
50;88;Northwestern University, Evanston *;USA;Universities;1
51;89;University of Wisconsin, Madison *;USA;Universities;1
52;90;Utrecht University *;NLD;Universities;1
53;91;Ohio State University, Columbus *;USA;Universities;1
54;92;Tianjin University *;CHN;Universities;1
55;93;Swiss Federal Institute of Technology;CHE;Universities;1
56;94;University of Minnesota, Twin Cities *;USA;Universities;1
57;95;Universidad Nacional Autonoma de Mexico;MEX;Universities;1
58;96;The University of Edinburgh *;GBR;Universities;1
59;97;Universite de Paris Cite *;FRA;Universities;1
60;99;Universitat de Barcelona *;ESP;Universities;1
61;100;University of North Carolina, Chapel Hill *;USA;Universities;1
62;101;The University of Queensland *;AUS;Universities;1
63;102;The University of Manchester *;GBR;Universities;1
64;103;Seoul National University *;KOR;Universities;1
65;104;Kings College London;GBR;Universities;1
66;106;Universita degli Studi di Roma La Sapienza;ITA;Universities;1
67;108;Universitat Autonoma de Barcelona *;ESP;Universities;1
68;109;University of Copenhagen;DNK;Universities;1
69;111;Catholic University of Leuven;BEL;Universities;1
70;112;University of Groningen *;NLD;Universities;1
71;114;University of Pittsburgh *;USA;Universities;1
72;115;University of Illinois at Urbana-Champaign *;USA;Universities;1
73;118;Universite Paris-Saclay *;FRA;Universities;1
74;119;University of Liverpool *;GBR;Universities;1
75;120;Jilin University *;CHN;Universities;1
76;121;Pennsylvania State University *;USA;Universities;1
76;121;Shandong University *;CHN;Universities;1
